"id","language","rt","type","response","nr_black","variant","comments"
1,"English",3930,"filler",1,5,"C","No"
1,"English",3108,"most",0,5,"C","No"
1,"English",2599,"filler",1,8,"C","No"
1,"English",4405,"many",1,7,"C","No"
1,"English",2574,"some",1,6,"C","No"
1,"English",1917,"filler",1,3,"C","No"
1,"English",2471,"filler",0,3,"C","No"
1,"English",2495,"many",0,6,"C","No"
1,"English",2093,"some",1,9,"C","No"
1,"English",1767,"filler",0,2,"C","No"
1,"English",2166,"filler",0,3,"C","No"
1,"English",1854,"most",1,9,"C","No"
1,"English",2543,"some",1,3,"C","No"
2,"English",7408,"filler",4,6,"B",NA
2,"English",1857,"some",4,5,"B",NA
2,"English",2741,"filler",4,2,"B",NA
2,"English",2475,"filler",3,4,"B",NA
2,"English",11454,"some",4,10,"B",NA
2,"English",3831,"filler",3,7,"B",NA
2,"English",2268,"filler",3,3,"B",NA
2,"English",2053,"some",4,3,"B",NA
3,"English",2685,"filler",0,4,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1479,"some",1,10,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1766,"filler",0,8,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1263,"filler",1,8,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1640,"some",0,0,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",2142,"filler",1,5,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1767,"filler",0,5,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
3,"English",1199,"some",1,7,"D","Your computer has a long ways to go before it can comprehend sentences if that's what was giving the statements!"
4,"English",6560,"filler",5,7,"B","Cheers."
4,"English",4828,"some",6,6,"B","Cheers."
4,"English",4175,"filler",1,7,"B","Cheers."
4,"English",3284,"filler",3,6,"B","Cheers."
4,"English",3659,"some",5,3,"B","Cheers."
4,"English",18601,"filler",3,8,"B","Cheers."
4,"English",4609,"filler",5,7,"B","Cheers."
4,"English",2562,"some",6,9,"B","Cheers."
5,"english",18430,"filler",2,4,"A",NA
5,"english",10894,"most",6,7,"A",NA
5,"english",5290,"filler",2,2,"A",NA
5,"english",6828,"many",4,7,"A",NA
5,"english",4844,"some",2,5,"A",NA
5,"english",5116,"filler",5,7,"A",NA
5,"english",8006,"filler",1,4,"A",NA
5,"english",6595,"most",1,3,"A",NA
5,"english",9365,"some",1,1,"A",NA
5,"english",6299,"filler",6,4,"A",NA
5,"english",5508,"filler",4,8,"A",NA
5,"english",5712,"many",2,3,"A",NA
5,"english",3379,"some",2,8,"A",NA
6,"English",6082,"filler",1,6,"D","Interesting!"
6,"English",2919,"some",0,0,"D","Interesting!"
6,"English",3070,"filler",0,8,"D","Interesting!"
6,"English",5338,"filler",0,4,"D","Interesting!"
6,"English",2142,"some",1,8,"D","Interesting!"
6,"English",3945,"filler",1,2,"D","Interesting!"
6,"English",3638,"filler",0,7,"D","Interesting!"
6,"English",2210,"some",1,7,"D","Interesting!"
7,"English",7442,"filler",1,3,"C","was a nice, fun study."
7,"English",6996,"most",0,5,"C","was a nice, fun study."
7,"English",4270,"filler",0,8,"C","was a nice, fun study."
7,"English",2142,"many",1,7,"C","was a nice, fun study."
7,"English",3095,"some",0,10,"C","was a nice, fun study."
7,"English",2015,"filler",0,7,"C","was a nice, fun study."
7,"English",2152,"filler",1,5,"C","was a nice, fun study."
7,"English",2302,"most",1,8,"C","was a nice, fun study."
7,"English",1471,"some",1,6,"C","was a nice, fun study."
7,"English",1487,"filler",0,6,"C","was a nice, fun study."
7,"English",2046,"filler",1,7,"C","was a nice, fun study."
7,"English",1952,"many",0,3,"C","was a nice, fun study."
7,"English",1718,"some",1,4,"C","was a nice, fun study."
8,"English",5436,"filler",1,7,"C",NA
8,"English",3996,"most",0,3,"C",NA
8,"English",2687,"filler",0,2,"C",NA
8,"English",2726,"many",0,3,"C",NA
8,"English",1961,"some",0,0,"C",NA
8,"English",2220,"filler",0,4,"C",NA
8,"English",1896,"filler",1,8,"C",NA
8,"English",2106,"many",1,7,"C",NA
8,"English",2308,"some",1,10,"C",NA
8,"English",4540,"filler",1,8,"C",NA
8,"English",2433,"filler",0,2,"C",NA
8,"English",2087,"most",1,9,"C",NA
8,"English",1628,"some",1,6,"C",NA
9,"English",3875,"filler",0,5,"C","Fun study, thanks"
9,"English",5609,"many",0,10,"C","Fun study, thanks"
9,"English",2031,"filler",1,3,"C","Fun study, thanks"
9,"English",2315,"most",1,8,"C","Fun study, thanks"
9,"English",1912,"some",1,6,"C","Fun study, thanks"
9,"English",1615,"filler",1,3,"C","Fun study, thanks"
9,"English",1485,"filler",0,5,"C","Fun study, thanks"
9,"English",1372,"most",0,3,"C","Fun study, thanks"
9,"English",2119,"some",0,9,"C","Fun study, thanks"
9,"English",2355,"filler",0,2,"C","Fun study, thanks"
9,"English",2663,"filler",0,5,"C","Fun study, thanks"
9,"English",1611,"many",0,3,"C","Fun study, thanks"
9,"English",1448,"some",0,0,"C","Fun study, thanks"
10,"English",6881,"filler",1,4,"C",NA
10,"English",2823,"most",0,3,"C",NA
10,"English",2900,"filler",0,6,"C",NA
10,"English",1917,"many",0,3,"C",NA
10,"English",3584,"some",1,8,"C",NA
10,"English",3080,"filler",1,5,"C",NA
10,"English",3788,"filler",0,3,"C",NA
10,"English",3409,"many",1,9,"C",NA
10,"English",2651,"some",1,2,"C",NA
10,"English",2339,"filler",0,8,"C",NA
10,"English",2158,"filler",0,7,"C",NA
10,"English",1850,"most",1,9,"C",NA
10,"English",4013,"some",1,6,"C",NA
11,"english",6396,"filler",1,2,"A",NA
11,"english",3005,"many",5,10,"A",NA
11,"english",3340,"filler",3,7,"A",NA
11,"english",2511,"most",7,9,"A",NA
11,"english",4433,"some",4,1,"A",NA
11,"english",3950,"filler",5,5,"A",NA
11,"english",2035,"filler",2,2,"A",NA
11,"english",2249,"most",2,3,"A",NA
11,"english",2657,"some",5,10,"A",NA
11,"english",2243,"filler",7,7,"A",NA
11,"english",3351,"filler",7,7,"A",NA
11,"english",3203,"many",6,5,"A",NA
11,"english",2867,"some",7,6,"A",NA
12,"english",12502,"filler",3,8,"A",NA
12,"english",8533,"most",6,6,"A",NA
12,"english",8754,"filler",1,2,"A",NA
12,"english",4821,"many",7,9,"A",NA
12,"english",5960,"some",4,9,"A",NA
12,"english",7444,"filler",5,3,"A",NA
12,"english",4383,"filler",1,7,"A",NA
12,"english",6138,"many",7,6,"A",NA
12,"english",5100,"some",7,2,"A",NA
12,"english",3760,"filler",7,8,"A",NA
12,"english",4155,"filler",6,3,"A",NA
12,"english",3758,"most",7,9,"A",NA
12,"english",4152,"some",7,7,"A",NA
13,"English",3034,"filler",1,3,"C","No."
13,"English",1757,"most",1,8,"C","No."
13,"English",1757,"filler",0,7,"C","No."
13,"English",1718,"many",1,7,"C","No."
13,"English",1413,"some",1,2,"C","No."
13,"English",1581,"filler",1,4,"C","No."
13,"English",2262,"filler",1,2,"C","No."
13,"English",1805,"most",0,4,"C","No."
13,"English",1477,"some",1,5,"C","No."
13,"English",1525,"filler",1,6,"C","No."
13,"English",2894,"filler",0,8,"C","No."
13,"English",2638,"many",0,4,"C","No."
13,"English",2158,"some",1,8,"C","No."
14,"English",7441,"filler",1,7,"B",NA
14,"English",3492,"some",7,4,"B",NA
14,"English",2776,"filler",3,8,"B",NA
14,"English",5485,"filler",5,3,"B",NA
14,"English",2980,"some",2,9,"B",NA
14,"English",4570,"filler",7,7,"B",NA
14,"English",4615,"filler",4,3,"B",NA
14,"English",3045,"some",6,6,"B",NA
15,"english",7358,"filler",6,8,"A",NA
15,"english",8235,"most",1,3,"A",NA
15,"english",7406,"filler",1,7,"A",NA
15,"english",17230,"many",3,3,"A",NA
15,"english",26294,"some",6,5,"A",NA
15,"english",4353,"filler",7,7,"A",NA
15,"english",3611,"filler",7,3,"A",NA
15,"english",4125,"most",7,10,"A",NA
15,"english",3136,"some",3,10,"A",NA
15,"english",3557,"filler",2,2,"A",NA
15,"english",2942,"filler",6,3,"A",NA
15,"english",2749,"many",6,7,"A",NA
15,"english",3935,"some",2,1,"A",NA
16,"English",3556,"filler",0,6,"C",NA
16,"English",2082,"most",1,10,"C",NA
16,"English",1766,"filler",1,6,"C",NA
16,"English",1466,"many",1,6,"C",NA
16,"English",2021,"some",1,4,"C",NA
16,"English",2183,"filler",0,7,"C",NA
16,"English",2102,"filler",0,3,"C",NA
16,"English",1419,"most",0,3,"C",NA
16,"English",1365,"some",1,6,"C",NA
16,"English",1676,"filler",1,2,"C",NA
16,"English",1784,"filler",0,5,"C",NA
16,"English",3945,"many",1,10,"C",NA
16,"English",1326,"some",1,8,"C",NA
17,"English",3597,"filler",0,7,"C","no"
17,"English",4248,"most",0,5,"C","no"
17,"English",2048,"filler",1,3,"C","no"
17,"English",2835,"many",1,6,"C","no"
17,"English",1631,"some",1,5,"C","no"
17,"English",1453,"filler",1,4,"C","no"
17,"English",1482,"filler",0,4,"C","no"
17,"English",1328,"most",1,10,"C","no"
17,"English",1566,"some",1,8,"C","no"
17,"English",2063,"filler",0,8,"C","no"
17,"English",1916,"filler",1,7,"C","no"
17,"English",1418,"many",1,9,"C","no"
17,"English",1216,"some",1,2,"C","no"
18,"english",9367,"filler",0,4,"D","no"
18,"english",3800,"some",1,6,"D","no"
18,"english",2921,"filler",0,2,"D","no"
18,"english",5605,"filler",0,3,"D","no"
18,"english",2881,"some",0,10,"D","no"
18,"english",2611,"filler",1,7,"D","no"
18,"english",4659,"filler",0,3,"D","no"
18,"english",1488,"some",1,2,"D","no"
19,"English",3793,"filler",0,8,"C","Everything worked fine, thanks"
19,"English",2482,"most",1,6,"C","Everything worked fine, thanks"
19,"English",1645,"filler",1,6,"C","Everything worked fine, thanks"
19,"English",1622,"many",0,4,"C","Everything worked fine, thanks"
19,"English",2813,"some",1,7,"C","Everything worked fine, thanks"
19,"English",1793,"filler",0,2,"C","Everything worked fine, thanks"
19,"English",975,"filler",1,8,"C","Everything worked fine, thanks"
19,"English",1398,"many",1,10,"C","Everything worked fine, thanks"
19,"English",2224,"some",1,1,"C","Everything worked fine, thanks"
19,"English",1455,"filler",0,7,"C","Everything worked fine, thanks"
19,"English",1549,"filler",0,2,"C","Everything worked fine, thanks"
19,"English",1590,"most",1,7,"C","Everything worked fine, thanks"
19,"English",1191,"some",1,8,"C","Everything worked fine, thanks"
20,"English",5083,"filler",4,7,"B",NA
20,"English",5797,"some",5,8,"B",NA
20,"English",4105,"filler",7,3,"B",NA
20,"English",16577,"filler",2,4,"B",NA
20,"English",2713,"some",7,5,"B",NA
20,"English",4749,"filler",1,8,"B",NA
20,"English",6573,"filler",4,6,"B",NA
20,"English",2544,"some",7,3,"B",NA
21,"english",10090,"filler",7,6,"A",NA
21,"english",6057,"most",2,5,"A",NA
21,"english",5279,"filler",2,5,"A",NA
21,"english",8452,"many",2,10,"A",NA
21,"english",4865,"some",7,3,"A",NA
21,"english",7401,"filler",3,5,"A",NA
21,"english",7869,"filler",5,4,"A",NA
21,"english",4361,"most",7,9,"A",NA
21,"english",6267,"some",4,8,"A",NA
21,"english",14993,"filler",1,3,"A",NA
21,"english",4074,"filler",1,7,"A",NA
21,"english",4385,"many",3,3,"A",NA
21,"english",5460,"some",4,7,"A",NA
22,"english",3557,"filler",1,4,"D","N/A"
22,"english",1722,"some",1,1,"D","N/A"
22,"english",3485,"filler",0,7,"D","N/A"
22,"english",1973,"filler",0,2,"D","N/A"
