ID,user.name, qtype, question, response
0,bubu, field, what program are you enrolled in?, cognitive science
0,bubu, r.experience.bin, do you have experience with R?, 1
0,bubu, bda.experience.bin, do you have experience with BDA?, 0
0,bubu, cm.experience.bin, do you have experience with CM?, 0
0,bubu, lit.most, what is your most favorite literary genre?, fantasy
0,bubu, lit.least, what is your least favorite literary genre?, horror
0,bubu, mus.most, what is your most favorite musical genre?, indie rock
0,bubu, mus.least, what is your least favorite musical genre?, heavy metal
0,bubu, pdf.reader, how do you read your academic papers? (choose from: ""e-reader""; ""screen""; ""tablet""; ""phone""; ""paper""), screen
0,bubu, prog.skill, how good a programmer are you? (integer from 0 -- 100), 40
0,bubu, exercise, how many days per week do you exercise (do sports)? (integer from 0 -- 7), 3
0,bubu, weekend, choose the weekend activity you most enjoy (choose from: ""sofa""; ""friends""; ""work""; ""party""; ""nature""; ""culture""; ""consumption""), nature
0,bubu, philosopher, who is your favorite philosopher?, platon
0,bubu, cooking, how many minutes per day do you spend on cooking (average; approximately)?, 40
1,Deppi, field, what program are you enrolled in?,cognitive science
1,Deppi, r.experience.bin,do you have experience with R? (yes: 1; no: 0),1
1,Deppi, bda.experience.bin,do you have experience with BDA? (yes: 1; no: 0),0
1,Deppi, cm.experience.bin,do you have experience with CM? (yes: 1; no: 0),0
1,Deppi, lit.most, what is your most favorite literary genre?,speculative fiction
1,Deppi, lit.least, what is your least favorite literary genre?,comic
1,Deppi, mus.most, what is your most favorite musical genre?,pop
1,Deppi, mus.least, what is your least favorite musical genre?,metalcore
1,Deppi, pdf.reader, how do you read your academic papers? (choose from: ""e-reader""; ""screen""; ""tablet""; ""phone""; ""paper"")",paper
1,Deppi, prog.skill,how good a programmer are you? (integer from 0 -- 100),35
1,Deppi, exercise,how many days per week do you exercise (do sports)? (integer from 0 -- 7),3
1,Deppi, weekend, choose the weekend activity you most enjoy (choose from: ""sofa""; ""friends""; ""work""; ""party""; ""nature""; ""culture""; ""consumption"")", friends
1,Deppi, philosopher, who is your favorite philosopher?,Paul Watzlawick
1,Deppi, cooking, "how many minutes per day do you spend on cooking (average; approximately)?",50
