id,question,tags,answer
1,The practice sessions have been helpful.,practice sessions helpful,85
2,The practice sessions have been helpful.,HW amount adequate,70
3,The practice sessions have been helpful.,HW too difficult,83
4,The practice sessions have been helpful.,HW too time consuming,90
5,The practice sessions have been helpful.,more practice sessions hereafter,70
6,The practice sessions have been helpful.,more technical/computational stuff,65
7,The practice sessions have been helpful.,more philosophy,65
8,The practice sessions have been helpful.,more cognitive models,65
9,The practice sessions have been helpful.,more regression modeling,50
10,The practice sessions have been helpful.,practice sessions helpful,90
11,The practice sessions have been helpful.,HW amount adequate,60
12,The practice sessions have been helpful.,HW too difficult,100
13,The practice sessions have been helpful.,HW too time consuming,50
14,The practice sessions have been helpful.,more practice sessions hereafter,70
1,The amount of homework exercises so far has been adequate.,more technical/computational stuff,80
2,The amount of homework exercises so far has been adequate.,more philosophy,80
3,The amount of homework exercises so far has been adequate.,more cognitive models,97
4,The amount of homework exercises so far has been adequate.,more regression modeling,100
5,The amount of homework exercises so far has been adequate.,practice sessions helpful,80
6,The amount of homework exercises so far has been adequate.,HW amount adequate,40
7,The amount of homework exercises so far has been adequate.,HW too difficult,40
8,The amount of homework exercises so far has been adequate.,HW too time consuming,60
9,The amount of homework exercises so far has been adequate.,more practice sessions hereafter,40
10,The amount of homework exercises so far has been adequate.,more technical/computational stuff,95
11,The amount of homework exercises so far has been adequate.,more philosophy,60
12,The amount of homework exercises so far has been adequate.,more cognitive models,0
13,The amount of homework exercises so far has been adequate.,more regression modeling,100
14,The amount of homework exercises so far has been adequate.,practice sessions helpful,60
1,The homework exercises have been too difficult.,HW amount adequate,27
2,The homework exercises have been too difficult.,HW too difficult,60
3,The homework exercises have been too difficult.,HW too time consuming,30
4,The homework exercises have been too difficult.,more practice sessions hereafter,5
5,The homework exercises have been too difficult.,more technical/computational stuff,60
6,The homework exercises have been too difficult.,more philosophy,70
7,The homework exercises have been too difficult.,more cognitive models,70
8,The homework exercises have been too difficult.,more regression modeling,70
9,The homework exercises have been too difficult.,practice sessions helpful,50
10,The homework exercises have been too difficult.,HW amount adequate,20
11,The homework exercises have been too difficult.,HW too difficult,60
12,The homework exercises have been too difficult.,HW too time consuming,50
13,The homework exercises have been too difficult.,more practice sessions hereafter,0
14,The homework exercises have been too difficult.,more technical/computational stuff,40
1,The homework exercises have been too time consuming.,more philosophy,30
2,The homework exercises have been too time consuming.,more cognitive models,70
3,The homework exercises have been too time consuming.,more regression modeling,38
4,The homework exercises have been too time consuming.,practice sessions helpful,15
5,The homework exercises have been too time consuming.,HW amount adequate,80
6,The homework exercises have been too time consuming.,HW too difficult,80
7,The homework exercises have been too time consuming.,HW too time consuming,75
8,The homework exercises have been too time consuming.,more practice sessions hereafter,85
9,The homework exercises have been too time consuming.,more technical/computational stuff,75
10,The homework exercises have been too time consuming.,more philosophy,15
11,The homework exercises have been too time consuming.,more cognitive models,80
12,The homework exercises have been too time consuming.,more regression modeling,50
13,The homework exercises have been too time consuming.,practice sessions helpful,0
